File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Co,Co Q8,[M+NH4],light,278.05
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Co,Co Q8,[M+Na],light,275.82
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Co,Co Q8,[M+NH4],heavy,278.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Co,Co Q8,[M+Na],heavy,275.79
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:1,[M+NH4],light,256.98
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:1,[M+Na],light,253.32
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:1,[M+NH4],heavy,257.48
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:1,[M+Na],heavy,254.94
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:2,[M+NH4],light,254.22
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:2,[M+Na],light,251.39
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:2,[M+NH4],heavy,255.55
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 32:2,[M+Na],heavy,253.29
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 33:2,[M+NH4],light,257.7
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 33:2,[M+Na],light,255.15
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 33:2,[M+NH4],heavy,257.64
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 33:2,[M+Na],heavy,256.49
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:1,[M+NH4],light,263.1
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:1,[M+Na],light,261.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:1,[M+NH4],heavy,264.7
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:1,[M+Na],heavy,261.89
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:2,[M+NH4],light,261.73
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:2,[M+Na],light,259.18
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:2,[M+NH4],heavy,261.95
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:2,[M+Na],heavy,258.59
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 1,[M+NH4],light,255.64
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 1,[M+Na],light,254.2
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 1,[M+NH4],heavy,255.31
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 1,[M+Na],heavy,256.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 2,[M+NH4],light,256.75
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 2,[M+Na],light,256.43
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 2,[M+NH4],heavy,259.48
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:3 - 2,[M+Na],heavy,256.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:4,[M+NH4],light,252.88
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:4,[M+Na],light,251.16
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:4,[M+NH4],heavy,252
