LipidClass,LipidSpecies,Formula,Mz,Polarity,Adduct,U13C_DTCCS,sd_CCS
TG,TG 53:5,C56H98O6,945.913433,pos,[M+Na],316.72,1.05
TG,TG 53:6,C56H96O6,938.942388,pos,[M+NH4],315.41,1.09
TG,TG 53:6,C56H96O6,943.897783,pos,[M+Na],314.99,0.65
TG,TG 53:7,C56H94O6,936.926738,pos,[M+NH4],314.26,1.11
TG,TG 53:7,C56H94O6,941.882133,pos,[M+Na],312.93,0.74
TG,TG 53:8,C56H92O6,934.911087,pos,[M+NH4],311.28,0.73
TG,TG 53:8,C56H92O6,939.866483,pos,[M+Na],310.07,0.8
TG,TG 54:2,C57H106O6,962.023993,pos,[M+NH4],327.14,0.43
TG,TG 54:2,C57H106O6,966.979388,pos,[M+Na],326.45,0.9
TG,TG 54:3,C57H104O6,960.008343,pos,[M+NH4],324.92,0.82
TG,TG 54:3,C57H104O6,964.963738,pos,[M+Na],323.74,0.76
TG,TG 54:4,C57H102O6,957.992693,pos,[M+NH4],323.06,0.43
TG,TG 54:4,C57H102O6,962.948088,pos,[M+Na],321.8,1.03
TG,TG 54:5,C57H100O6,955.977043,pos,[M+NH4],320.67,0
TG,TG 54:5,C57H100O6,960.932438,pos,[M+Na],320.21,0.47
TG,TG 54:6,C57H98O6,953.961393,pos,[M+NH4],318.9,0
TG,TG 54:6,C57H98O6,958.916788,pos,[M+Na],317.63,0.62
TG,TG 54:7,C57H96O6,951.945742,pos,[M+NH4],316.86,0.73
TG,TG 54:7,C57H96O6,956.901138,pos,[M+Na],315.95,0.6
TG,TG 54:8,C57H94O6,949.930092,pos,[M+NH4],315.09,0.43
TG,TG 54:8,C57H94O6,954.885488,pos,[M+Na],314.18,0.84
TG,TG 54:9,C57H92O6,947.914442,pos,[M+NH4],312.97,0.6
TG,TG 54:9,C57H92O6,952.869837,pos,[M+Na],312.06,1.26
